session_id,user_id,session_number,transcript,csi_score,acoustic_features,temporal_features,linguistic_features,label
13,1,10,"Okay, I'm in Hindi but they should work fine.",57,"{'mfcc_0_mean': -339.348969, 'mfcc_0_var': 4646.737305, 'mfcc_1_mean': 128.008926, 'mfcc_1_var': 595.108948, 'mfcc_2_mean': -85.301262, 'mfcc_2_var': 1571.677856, 'mfcc_3_mean': 32.075611, 'mfcc_3_var': 1031.515747, 'mfcc_4_mean': -33.0816, 'mfcc_4_var': 422.925629, 'mfcc_5_mean': -53.747559, 'mfcc_5_var': 284.193329, 'mfcc_6_mean': -39.118694, 'mfcc_6_var': 229.778549, 'mfcc_7_mean': -41.716526, 'mfcc_7_var': 298.985138, 'mfcc_8_mean': -29.338125, 'mfcc_8_var': 209.492905, 'mfcc_9_mean': -35.339954, 'mfcc_9_var': 377.901947, 'mfcc_10_mean': -15.997475, 'mfcc_10_var': 148.435669, 'mfcc_11_mean': -25.572897, 'mfcc_11_var': 191.857651, 'mfcc_12_mean': -18.379915, 'mfcc_12_var': 180.504211, 'mfcc_variance_avg': 783.778076, 'pitch_mean': 157.713675, 'pitch_var': 331.33385, 'pitch_range': 84.371525, 'voiced_fraction': 0.65625, 'jitter_local': 0.020345, 'jitter_abs': 0.00013, 'energy_mean': 0.043874, 'energy_var': 0.000791, 'energy_range': 0.09695, 'shimmer_local': 0.189168, 'shimmer_abs': 0.0083, 'spectral_centroid_mean': 1196.012546, 'spectral_centroid_var': 158708.482293, 'speech_rate': 9.210526, 'syllable_count': 28, 'duration_sec': 3.04}","{'response_latency': 0.064, 'rhythm_consistency': 0.711395, 'pause_variability': 0.016, 'speed_variability': 0.68378, 'mean_pause_duration': 0.272, 'max_pause_duration': 0.288, 'pause_count': 2}","{'sentence_length_mean': 9.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.6667, 'filler_ratio': 0.0, 'content_word_ratio': 0.4444, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.5074, 'word_count': 9, 'sentence_count': 1}",low
14,1,11,"Hello, I'm gonna start speaking now, just better work.",73,"{'mfcc_0_mean': -341.627991, 'mfcc_0_var': 4684.28418, 'mfcc_1_mean': 123.58712, 'mfcc_1_var': 1028.877075, 'mfcc_2_mean': -80.199486, 'mfcc_2_var': 1253.309814, 'mfcc_3_mean': 20.895428, 'mfcc_3_var': 1602.561035, 'mfcc_4_mean': -42.324585, 'mfcc_4_var': 404.217834, 'mfcc_5_mean': -42.367825, 'mfcc_5_var': 379.985352, 'mfcc_6_mean': -35.887787, 'mfcc_6_var': 285.251282, 'mfcc_7_mean': -32.742268, 'mfcc_7_var': 122.92569, 'mfcc_8_mean': -15.778053, 'mfcc_8_var': 323.29895, 'mfcc_9_mean': -35.972618, 'mfcc_9_var': 354.580048, 'mfcc_10_mean': -19.697281, 'mfcc_10_var': 129.06955, 'mfcc_11_mean': -26.065481, 'mfcc_11_var': 127.158287, 'mfcc_12_mean': -8.317451, 'mfcc_12_var': 171.957565, 'mfcc_variance_avg': 835.959717, 'pitch_mean': 179.943862, 'pitch_var': 7509.162924, 'pitch_range': 364.396051, 'voiced_fraction': 0.76699, 'jitter_local': 0.049108, 'jitter_abs': 0.000307, 'energy_mean': 0.037104, 'energy_var': 0.000556, 'energy_range': 0.106582, 'shimmer_local': 0.171116, 'shimmer_abs': 0.006349, 'spectral_centroid_mean': 1308.939035, 'spectral_centroid_var': 208153.873046, 'speech_rate': 7.965686, 'syllable_count': 26, 'duration_sec': 3.264}","{'response_latency': 0.0, 'rhythm_consistency': 0.436234, 'pause_variability': 0.231309, 'speed_variability': 3.611883, 'mean_pause_duration': 0.24, 'max_pause_duration': 0.64, 'pause_count': 4}","{'sentence_length_mean': 10.0, 'lexical_diversity': 1.0, 'avg_word_length': 4.1, 'filler_ratio': 0.0, 'content_word_ratio': 0.7, 'syntactic_complexity': 0.0, 'vocabulary_richness': 4.7095, 'word_count': 10, 'sentence_count': 1}",low
15,1,12,"Okay, so it is working now. I'll just speak a little bit fast so it works and I don't know what to do.",81,"{'mfcc_0_mean': -333.725525, 'mfcc_0_var': 2511.972168, 'mfcc_1_mean': 135.216187, 'mfcc_1_var': 661.973511, 'mfcc_2_mean': -78.855743, 'mfcc_2_var': 598.490173, 'mfcc_3_mean': 16.320215, 'mfcc_3_var': 633.252808, 'mfcc_4_mean': -33.33075, 'mfcc_4_var': 541.343872, 'mfcc_5_mean': -42.586037, 'mfcc_5_var': 280.430603, 'mfcc_6_mean': -33.750271, 'mfcc_6_var': 371.296997, 'mfcc_7_mean': -41.829113, 'mfcc_7_var': 124.856606, 'mfcc_8_mean': -26.794067, 'mfcc_8_var': 237.251297, 'mfcc_9_mean': -39.523483, 'mfcc_9_var': 321.638977, 'mfcc_10_mean': -15.328892, 'mfcc_10_var': 163.682617, 'mfcc_11_mean': -19.668505, 'mfcc_11_var': 118.523643, 'mfcc_12_mean': -23.085943, 'mfcc_12_var': 142.899521, 'mfcc_variance_avg': 515.970215, 'pitch_mean': 146.472452, 'pitch_var': 184.589434, 'pitch_range': 58.750568, 'voiced_fraction': 0.874172, 'jitter_local': 0.010828, 'jitter_abs': 7.4e-05, 'energy_mean': 0.04166, 'energy_var': 0.000458, 'energy_range': 0.084186, 'shimmer_local': 0.149941, 'shimmer_abs': 0.006247, 'spectral_centroid_mean': 1096.822227, 'spectral_centroid_var': 64591.904092, 'speech_rate': 8.72093, 'syllable_count': 42, 'duration_sec': 4.816}","{'response_latency': 0.064, 'rhythm_consistency': 1.87468, 'pause_variability': 0.016, 'speed_variability': 0.054001, 'mean_pause_duration': 0.08, 'max_pause_duration': 0.096, 'pause_count': 2}","{'sentence_length_mean': 11.5, 'lexical_diversity': 0.8261, 'avg_word_length': 3.087, 'filler_ratio': 0.087, 'content_word_ratio': 0.3478, 'syntactic_complexity': 1.5, 'vocabulary_richness': 6.6164, 'word_count': 23, 'sentence_count': 2}",high
16,1,13,I just can't I see fortress I see table and stage,86,"{'mfcc_0_mean': -275.471344, 'mfcc_0_var': 3756.169189, 'mfcc_1_mean': 120.564812, 'mfcc_1_var': 777.769653, 'mfcc_2_mean': -85.714401, 'mfcc_2_var': 766.122742, 'mfcc_3_mean': 32.20974, 'mfcc_3_var': 999.652649, 'mfcc_4_mean': -40.953312, 'mfcc_4_var': 228.382904, 'mfcc_5_mean': -47.808205, 'mfcc_5_var': 296.178223, 'mfcc_6_mean': -37.537613, 'mfcc_6_var': 331.950134, 'mfcc_7_mean': -36.854092, 'mfcc_7_var': 261.063507, 'mfcc_8_mean': -18.586716, 'mfcc_8_var': 149.819687, 'mfcc_9_mean': -42.096149, 'mfcc_9_var': 254.783997, 'mfcc_10_mean': -29.724489, 'mfcc_10_var': 90.789536, 'mfcc_11_mean': -16.917372, 'mfcc_11_var': 165.541595, 'mfcc_12_mean': -11.732341, 'mfcc_12_var': 114.611504, 'mfcc_variance_avg': 630.21814, 'pitch_mean': 185.922014, 'pitch_var': 6363.057495, 'pitch_range': 293.266403, 'voiced_fraction': 0.730337, 'jitter_local': 0.033773, 'jitter_abs': 0.000201, 'energy_mean': 0.061364, 'energy_var': 0.000996, 'energy_range': 0.123638, 'shimmer_local': 0.168456, 'shimmer_abs': 0.010337, 'spectral_centroid_mean': 1270.430073, 'spectral_centroid_var': 105702.218434, 'speech_rate': 8.802817, 'syllable_count': 25, 'duration_sec': 2.84}","{'response_latency': 0.16, 'rhythm_consistency': 0.0, 'pause_variability': 0.0, 'speed_variability': 0.0, 'mean_pause_duration': 0.0, 'max_pause_duration': 0.0, 'pause_count': 0}","{'sentence_length_mean': 11.0, 'lexical_diversity': 0.7273, 'avg_word_length': 3.2727, 'filler_ratio': 0.0, 'content_word_ratio': 0.5455, 'syntactic_complexity': 0.0, 'vocabulary_richness': 5.3488, 'word_count': 11, 'sentence_count': 1}",high
17,1,14,"OK, I'm changing this again. Let's see how this works. I am a bit sad, but I don't know what to say.",92,"{'mfcc_0_mean': -296.608246, 'mfcc_0_var': 3116.394531, 'mfcc_1_mean': 120.660095, 'mfcc_1_var': 967.181641, 'mfcc_2_mean': -80.663483, 'mfcc_2_var': 925.142334, 'mfcc_3_mean': 27.844378, 'mfcc_3_var': 1036.005493, 'mfcc_4_mean': -41.169655, 'mfcc_4_var': 613.783142, 'mfcc_5_mean': -42.777412, 'mfcc_5_var': 291.391876, 'mfcc_6_mean': -29.325411, 'mfcc_6_var': 234.210632, 'mfcc_7_mean': -30.270454, 'mfcc_7_var': 191.115234, 'mfcc_8_mean': -22.301289, 'mfcc_8_var': 279.754303, 'mfcc_9_mean': -38.517052, 'mfcc_9_var': 314.216034, 'mfcc_10_mean': -14.627148, 'mfcc_10_var': 174.452667, 'mfcc_11_mean': -23.396925, 'mfcc_11_var': 178.87027, 'mfcc_12_mean': -15.324084, 'mfcc_12_var': 174.068741, 'mfcc_variance_avg': 653.583618, 'pitch_mean': 149.159524, 'pitch_var': 191.257878, 'pitch_range': 55.774389, 'voiced_fraction': 0.725275, 'jitter_local': 0.016294, 'jitter_abs': 0.00011, 'energy_mean': 0.047109, 'energy_var': 0.000821, 'energy_range': 0.133251, 'shimmer_local': 0.177703, 'shimmer_abs': 0.008371, 'spectral_centroid_mean': 1311.946272, 'spectral_centroid_var': 160738.008836, 'speech_rate': 9.834369, 'syllable_count': 57, 'duration_sec': 5.796}","{'response_latency': 0.0, 'rhythm_consistency': 1.118367, 'pause_variability': 0.132665, 'speed_variability': 6.023046, 'mean_pause_duration': 0.168, 'max_pause_duration': 0.416, 'pause_count': 8}","{'sentence_length_mean': 7.3333, 'lexical_diversity': 0.8636, 'avg_word_length': 3.0455, 'filler_ratio': 0.0, 'content_word_ratio': 0.4091, 'syntactic_complexity': 0.6667, 'vocabulary_richness': 6.4416, 'word_count': 22, 'sentence_count': 3}",high
18,2,4,"Okay, let's test this right now. Is my live transcript? No, let's see if it goes",78,"{'mfcc_0_mean': -363.253021, 'mfcc_0_var': 3953.222656, 'mfcc_1_mean': 104.844879, 'mfcc_1_var': 1110.564941, 'mfcc_2_mean': -67.590652, 'mfcc_2_var': 1124.152466, 'mfcc_3_mean': 37.04372, 'mfcc_3_var': 1522.905396, 'mfcc_4_mean': -40.217312, 'mfcc_4_var': 431.78241, 'mfcc_5_mean': -34.679703, 'mfcc_5_var': 470.784363, 'mfcc_6_mean': -27.132162, 'mfcc_6_var': 342.22937, 'mfcc_7_mean': -32.981998, 'mfcc_7_var': 170.464554, 'mfcc_8_mean': -23.507536, 'mfcc_8_var': 190.232651, 'mfcc_9_mean': -50.72718, 'mfcc_9_var': 363.787201, 'mfcc_10_mean': -19.85478, 'mfcc_10_var': 115.92347, 'mfcc_11_mean': -18.00288, 'mfcc_11_var': 121.32605, 'mfcc_12_mean': -14.424314, 'mfcc_12_var': 132.222443, 'mfcc_variance_avg': 773.046021, 'pitch_mean': 161.7871, 'pitch_var': 137.964352, 'pitch_range': 68.857534, 'voiced_fraction': 0.852459, 'jitter_local': 0.02115, 'jitter_abs': 0.000131, 'energy_mean': 0.029559, 'energy_var': 0.000395, 'energy_range': 0.085424, 'shimmer_local': 0.252325, 'shimmer_abs': 0.007458, 'spectral_centroid_mean': 1410.79658, 'spectral_centroid_var': 209159.773426, 'speech_rate': 8.522727, 'syllable_count': 33, 'duration_sec': 3.872}","{'response_latency': 0.704, 'rhythm_consistency': 0.103555, 'pause_variability': 0.015677, 'speed_variability': 2.185014, 'mean_pause_duration': 0.0448, 'max_pause_duration': 0.064, 'pause_count': 5}","{'sentence_length_mean': 5.3333, 'lexical_diversity': 0.9375, 'avg_word_length': 3.5625, 'filler_ratio': 0.0625, 'content_word_ratio': 0.5625, 'syntactic_complexity': 0.3333, 'vocabulary_richness': 5.6985, 'word_count': 16, 'sentence_count': 3}",medium
19,2,5,"Test one, test one.",81,"{'mfcc_0_mean': -356.683167, 'mfcc_0_var': 3395.125732, 'mfcc_1_mean': 104.87635, 'mfcc_1_var': 1205.640503, 'mfcc_2_mean': -61.02964, 'mfcc_2_var': 850.826477, 'mfcc_3_mean': 36.120289, 'mfcc_3_var': 881.576355, 'mfcc_4_mean': -33.991592, 'mfcc_4_var': 482.461212, 'mfcc_5_mean': -38.2514, 'mfcc_5_var': 334.34375, 'mfcc_6_mean': -32.506123, 'mfcc_6_var': 390.879028, 'mfcc_7_mean': -35.112183, 'mfcc_7_var': 176.883072, 'mfcc_8_mean': -22.713768, 'mfcc_8_var': 129.799393, 'mfcc_9_mean': -40.466606, 'mfcc_9_var': 245.738922, 'mfcc_10_mean': -21.105278, 'mfcc_10_var': 112.375099, 'mfcc_11_mean': -18.571434, 'mfcc_11_var': 102.520782, 'mfcc_12_mean': -6.570225, 'mfcc_12_var': 254.079651, 'mfcc_variance_avg': 658.634644, 'pitch_mean': 165.083502, 'pitch_var': 72.946272, 'pitch_range': 40.269653, 'voiced_fraction': 0.72, 'jitter_local': 0.015464, 'jitter_abs': 9.4e-05, 'energy_mean': 0.02796, 'energy_var': 0.000512, 'energy_range': 0.081289, 'shimmer_local': 0.238267, 'shimmer_abs': 0.006662, 'spectral_centroid_mean': 1390.62649, 'spectral_centroid_var': 327455.531432, 'speech_rate': 8.838384, 'syllable_count': 14, 'duration_sec': 1.584}","{'response_latency': 0.128, 'rhythm_consistency': 0.504, 'pause_variability': 0.0, 'speed_variability': 1.339592, 'mean_pause_duration': 0.448, 'max_pause_duration': 0.448, 'pause_count': 1}","{'sentence_length_mean': 4.0, 'lexical_diversity': 0.5, 'avg_word_length': 3.5, 'filler_ratio': 0.0, 'content_word_ratio': 1.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 3.4229, 'word_count': 4, 'sentence_count': 1}",high
20,2,6,"There's two, there's two.",76,"{'mfcc_0_mean': -301.744812, 'mfcc_0_var': 3701.445312, 'mfcc_1_mean': 111.983055, 'mfcc_1_var': 641.626465, 'mfcc_2_mean': -87.454178, 'mfcc_2_var': 980.377319, 'mfcc_3_mean': 39.122932, 'mfcc_3_var': 704.129578, 'mfcc_4_mean': -40.344658, 'mfcc_4_var': 341.23172, 'mfcc_5_mean': -42.678703, 'mfcc_5_var': 246.430328, 'mfcc_6_mean': -32.622948, 'mfcc_6_var': 193.218292, 'mfcc_7_mean': -40.214146, 'mfcc_7_var': 231.026947, 'mfcc_8_mean': -25.774906, 'mfcc_8_var': 84.842468, 'mfcc_9_mean': -37.950268, 'mfcc_9_var': 342.598572, 'mfcc_10_mean': -17.440044, 'mfcc_10_var': 66.945023, 'mfcc_11_mean': -18.879475, 'mfcc_11_var': 219.259308, 'mfcc_12_mean': -10.742804, 'mfcc_12_var': 86.40197, 'mfcc_variance_avg': 603.040955, 'pitch_mean': 217.111084, 'pitch_var': 7584.858297, 'pitch_range': 222.435249, 'voiced_fraction': 0.75, 'jitter_local': 0.034224, 'jitter_abs': 0.000178, 'energy_mean': 0.050803, 'energy_var': 0.001085, 'energy_range': 0.100527, 'shimmer_local': 0.289952, 'shimmer_abs': 0.01473, 'spectral_centroid_mean': 1410.52855, 'spectral_centroid_var': 176298.424774, 'speech_rate': 6.410256, 'syllable_count': 8, 'duration_sec': 1.248}","{'response_latency': 0.416, 'rhythm_consistency': 0.496, 'pause_variability': 0.0, 'speed_variability': 17.986687, 'mean_pause_duration': 0.064, 'max_pause_duration': 0.064, 'pause_count': 1}","{'sentence_length_mean': 4.0, 'lexical_diversity': 0.5, 'avg_word_length': 4.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.5, 'syntactic_complexity': 0.0, 'vocabulary_richness': 3.4229, 'word_count': 4, 'sentence_count': 1}",low
21,2,7,Now test 3 finally done.,84,"{'mfcc_0_mean': -346.789276, 'mfcc_0_var': 3438.924316, 'mfcc_1_mean': 109.687782, 'mfcc_1_var': 584.02533, 'mfcc_2_mean': -61.754337, 'mfcc_2_var': 794.966492, 'mfcc_3_mean': 39.642033, 'mfcc_3_var': 1298.612793, 'mfcc_4_mean': -26.815102, 'mfcc_4_var': 460.765411, 'mfcc_5_mean': -48.161789, 'mfcc_5_var': 312.461975, 'mfcc_6_mean': -26.977598, 'mfcc_6_var': 277.844452, 'mfcc_7_mean': -26.495573, 'mfcc_7_var': 133.886856, 'mfcc_8_mean': -27.9923, 'mfcc_8_var': 235.259033, 'mfcc_9_mean': -43.690987, 'mfcc_9_var': 417.99881, 'mfcc_10_mean': -20.154135, 'mfcc_10_var': 128.169571, 'mfcc_11_mean': -24.298719, 'mfcc_11_var': 125.336899, 'mfcc_12_mean': -18.054369, 'mfcc_12_var': 99.745644, 'mfcc_variance_avg': 639.076782, 'pitch_mean': 156.271847, 'pitch_var': 128.360233, 'pitch_range': 37.35651, 'voiced_fraction': 0.961538, 'jitter_local': 0.019749, 'jitter_abs': 0.000127, 'energy_mean': 0.037463, 'energy_var': 0.000455, 'energy_range': 0.098708, 'shimmer_local': 0.215692, 'shimmer_abs': 0.00808, 'spectral_centroid_mean': 1226.566367, 'spectral_centroid_var': 81610.237702, 'speech_rate': 9.191176, 'syllable_count': 15, 'duration_sec': 1.632}","{'response_latency': 0.512, 'rhythm_consistency': 0.304, 'pause_variability': 0.0, 'speed_variability': 0.175165, 'mean_pause_duration': 0.096, 'max_pause_duration': 0.096, 'pause_count': 1}","{'sentence_length_mean': 4.0, 'lexical_diversity': 1.0, 'avg_word_length': 4.5, 'filler_ratio': 0.0, 'content_word_ratio': 0.75, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.9808, 'word_count': 4, 'sentence_count': 1}",high
22,3,1,No speech recognized in-browser.,50,"{'mfcc_0_mean': -325.712067, 'mfcc_0_var': 3259.037842, 'mfcc_1_mean': 122.37339, 'mfcc_1_var': 989.650574, 'mfcc_2_mean': -68.68914, 'mfcc_2_var': 1308.360352, 'mfcc_3_mean': 18.187, 'mfcc_3_var': 1164.202026, 'mfcc_4_mean': -31.795473, 'mfcc_4_var': 527.821228, 'mfcc_5_mean': -51.907169, 'mfcc_5_var': 383.734985, 'mfcc_6_mean': -27.959902, 'mfcc_6_var': 300.070953, 'mfcc_7_mean': -24.796591, 'mfcc_7_var': 131.306366, 'mfcc_8_mean': -26.016352, 'mfcc_8_var': 254.976395, 'mfcc_9_mean': -34.453514, 'mfcc_9_var': 273.294434, 'mfcc_10_mean': -24.180115, 'mfcc_10_var': 135.563553, 'mfcc_11_mean': -23.666636, 'mfcc_11_var': 136.580215, 'mfcc_12_mean': -10.659254, 'mfcc_12_var': 146.89592, 'mfcc_variance_avg': 693.191833, 'pitch_mean': 179.40509, 'pitch_var': 9229.128632, 'pitch_range': 340.440727, 'voiced_fraction': 0.804348, 'jitter_local': 0.031774, 'jitter_abs': 0.000206, 'energy_mean': 0.045414, 'energy_var': 0.000754, 'energy_range': 0.125571, 'shimmer_local': 0.204338, 'shimmer_abs': 0.00928, 'spectral_centroid_mean': 1199.034205, 'spectral_centroid_var': 171131.914942, 'speech_rate': 9.35219, 'syllable_count': 41, 'duration_sec': 4.384}","{'response_latency': 0.064, 'rhythm_consistency': 0.738528, 'pause_variability': 0.120797, 'speed_variability': 2.530273, 'mean_pause_duration': 0.112, 'max_pause_duration': 0.32, 'pause_count': 4}","{'sentence_length_mean': 3.0, 'lexical_diversity': 1.0, 'avg_word_length': 6.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.6667, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.483, 'word_count': 3, 'sentence_count': 1}",low
23,3,2,No speech recognized in-browser.,50,"{'mfcc_0_mean': -308.436157, 'mfcc_0_var': 3663.67334, 'mfcc_1_mean': 117.469582, 'mfcc_1_var': 1046.142456, 'mfcc_2_mean': -56.98735, 'mfcc_2_var': 693.97229, 'mfcc_3_mean': 26.902897, 'mfcc_3_var': 1335.441406, 'mfcc_4_mean': -41.866421, 'mfcc_4_var': 827.26825, 'mfcc_5_mean': -44.35508, 'mfcc_5_var': 392.774506, 'mfcc_6_mean': -17.454191, 'mfcc_6_var': 348.169373, 'mfcc_7_mean': -33.630627, 'mfcc_7_var': 85.69799, 'mfcc_8_mean': -36.471592, 'mfcc_8_var': 218.118942, 'mfcc_9_mean': -35.326523, 'mfcc_9_var': 203.326813, 'mfcc_10_mean': -21.965281, 'mfcc_10_var': 102.703491, 'mfcc_11_mean': -19.533058, 'mfcc_11_var': 201.27774, 'mfcc_12_mean': -8.206098, 'mfcc_12_var': 137.212845, 'mfcc_variance_avg': 711.983032, 'pitch_mean': 177.94727, 'pitch_var': 3716.639575, 'pitch_range': 252.672699, 'voiced_fraction': 0.793893, 'jitter_local': 0.022356, 'jitter_abs': 0.000134, 'energy_mean': 0.060227, 'energy_var': 0.002005, 'energy_range': 0.167126, 'shimmer_local': 0.188963, 'shimmer_abs': 0.011381, 'spectral_centroid_mean': 1194.340507, 'spectral_centroid_var': 220875.623426, 'speech_rate': 10.096154, 'syllable_count': 42, 'duration_sec': 4.16}","{'response_latency': 0.032, 'rhythm_consistency': 0.68275, 'pause_variability': 0.093624, 'speed_variability': 7.922115, 'mean_pause_duration': 0.1344, 'max_pause_duration': 0.256, 'pause_count': 5}","{'sentence_length_mean': 3.0, 'lexical_diversity': 1.0, 'avg_word_length': 6.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.6667, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.483, 'word_count': 3, 'sentence_count': 1}",low
24,3,3,No speech recognized in-browser.,76,"{'mfcc_0_mean': -334.694031, 'mfcc_0_var': 4335.984375, 'mfcc_1_mean': 118.684776, 'mfcc_1_var': 1183.803711, 'mfcc_2_mean': -81.442764, 'mfcc_2_var': 1163.386963, 'mfcc_3_mean': 38.369713, 'mfcc_3_var': 1461.088135, 'mfcc_4_mean': -35.872673, 'mfcc_4_var': 625.393494, 'mfcc_5_mean': -53.531586, 'mfcc_5_var': 313.848022, 'mfcc_6_mean': -23.158241, 'mfcc_6_var': 314.932129, 'mfcc_7_mean': -24.641832, 'mfcc_7_var': 106.758751, 'mfcc_8_mean': -28.571451, 'mfcc_8_var': 190.525925, 'mfcc_9_mean': -42.703495, 'mfcc_9_var': 237.461594, 'mfcc_10_mean': -27.647558, 'mfcc_10_var': 160.267395, 'mfcc_11_mean': -24.306126, 'mfcc_11_var': 136.347458, 'mfcc_12_mean': -10.674405, 'mfcc_12_var': 126.850815, 'mfcc_variance_avg': 796.665344, 'pitch_mean': 163.852569, 'pitch_var': 2163.462941, 'pitch_range': 194.052911, 'voiced_fraction': 0.836735, 'jitter_local': 0.03187, 'jitter_abs': 0.000205, 'energy_mean': 0.04401, 'energy_var': 0.000574, 'energy_range': 0.089065, 'shimmer_local': 0.163333, 'shimmer_abs': 0.007188, 'spectral_centroid_mean': 1280.858106, 'spectral_centroid_var': 217837.707306, 'speech_rate': 7.400257, 'syllable_count': 23, 'duration_sec': 3.108}","{'response_latency': 0.288, 'rhythm_consistency': 1.394, 'pause_variability': 0.0, 'speed_variability': 6.343632, 'mean_pause_duration': 0.864, 'max_pause_duration': 0.864, 'pause_count': 1}","{'sentence_length_mean': 3.0, 'lexical_diversity': 1.0, 'avg_word_length': 6.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.6667, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.483, 'word_count': 3, 'sentence_count': 1}",low
25,3,4,okay so this is live transcript it is not working that is fine,82,"{'mfcc_0_mean': -318.83493, 'mfcc_0_var': 4638.583984, 'mfcc_1_mean': 107.511307, 'mfcc_1_var': 482.518402, 'mfcc_2_mean': -78.50705, 'mfcc_2_var': 1492.605225, 'mfcc_3_mean': 26.176418, 'mfcc_3_var': 837.058167, 'mfcc_4_mean': -31.38512, 'mfcc_4_var': 635.273376, 'mfcc_5_mean': -38.361244, 'mfcc_5_var': 414.147461, 'mfcc_6_mean': -26.496515, 'mfcc_6_var': 465.79248, 'mfcc_7_mean': -22.294483, 'mfcc_7_var': 205.010513, 'mfcc_8_mean': -22.120106, 'mfcc_8_var': 189.34053, 'mfcc_9_mean': -50.629749, 'mfcc_9_var': 259.644318, 'mfcc_10_mean': -18.780348, 'mfcc_10_var': 119.72673, 'mfcc_11_mean': -23.393263, 'mfcc_11_var': 182.018204, 'mfcc_12_mean': -12.569529, 'mfcc_12_var': 123.233223, 'mfcc_variance_avg': 772.688721, 'pitch_mean': 165.072848, 'pitch_var': 328.871177, 'pitch_range': 90.22518, 'voiced_fraction': 0.828283, 'jitter_local': 0.01874, 'jitter_abs': 0.000115, 'energy_mean': 0.042463, 'energy_var': 0.000649, 'energy_range': 0.118851, 'shimmer_local': 0.243011, 'shimmer_abs': 0.010319, 'spectral_centroid_mean': 1375.666795, 'spectral_centroid_var': 113542.056895, 'speech_rate': 9.566327, 'syllable_count': 30, 'duration_sec': 3.136}","{'response_latency': 1.088, 'rhythm_consistency': 0.436703, 'pause_variability': 0.013856, 'speed_variability': 4.494384, 'mean_pause_duration': 0.04, 'max_pause_duration': 0.064, 'pause_count': 4}","{'sentence_length_mean': 13.0, 'lexical_diversity': 0.8462, 'avg_word_length': 3.8462, 'filler_ratio': 0.0769, 'content_word_ratio': 0.3846, 'syntactic_complexity': 0.0, 'vocabulary_richness': 5.4635, 'word_count': 13, 'sentence_count': 1}",high
26,3,5,"Recording one of three, let's see if this works known.",85,"{'mfcc_0_mean': -351.931, 'mfcc_0_var': 3065.727295, 'mfcc_1_mean': 107.533752, 'mfcc_1_var': 1103.327637, 'mfcc_2_mean': -69.241608, 'mfcc_2_var': 1022.960388, 'mfcc_3_mean': 33.52755, 'mfcc_3_var': 1646.542358, 'mfcc_4_mean': -40.993904, 'mfcc_4_var': 916.604858, 'mfcc_5_mean': -46.200344, 'mfcc_5_var': 427.970856, 'mfcc_6_mean': -27.716146, 'mfcc_6_var': 434.941742, 'mfcc_7_mean': -25.39566, 'mfcc_7_var': 168.572357, 'mfcc_8_mean': -23.49501, 'mfcc_8_var': 294.126617, 'mfcc_9_mean': -52.574612, 'mfcc_9_var': 312.623749, 'mfcc_10_mean': -18.827322, 'mfcc_10_var': 218.474792, 'mfcc_11_mean': -16.247902, 'mfcc_11_var': 201.754379, 'mfcc_12_mean': -16.158583, 'mfcc_12_var': 148.791504, 'mfcc_variance_avg': 766.339844, 'pitch_mean': 190.679311, 'pitch_var': 4520.612895, 'pitch_range': 247.562921, 'voiced_fraction': 0.927711, 'jitter_local': 0.029003, 'jitter_abs': 0.000163, 'energy_mean': 0.041131, 'energy_var': 0.000863, 'energy_range': 0.116558, 'shimmer_local': 0.20472, 'shimmer_abs': 0.00842, 'spectral_centroid_mean': 1357.916662, 'spectral_centroid_var': 206602.428806, 'speech_rate': 9.527439, 'syllable_count': 25, 'duration_sec': 2.624}","{'response_latency': 1.12, 'rhythm_consistency': 0.369097, 'pause_variability': 0.065483, 'speed_variability': 2.018804, 'mean_pause_duration': 0.088, 'max_pause_duration': 0.192, 'pause_count': 4}","{'sentence_length_mean': 10.0, 'lexical_diversity': 1.0, 'avg_word_length': 4.1, 'filler_ratio': 0.0, 'content_word_ratio': 0.7, 'syntactic_complexity': 2.0, 'vocabulary_richness': 4.7095, 'word_count': 10, 'sentence_count': 1}",high
